reach_name,reach_length_m,drainage_ha,currentflow_cfs,lowflow_2040_cfs,lowflow_2080_cfs,system_id
Pot Cr1,2579.22,3236.6,7.07,6.54,6.02,NONAG
Pot Cr2,5274.26,1669.62,3.42,3.15,2.9,NONAG
Rail Cr,7518.2,1137.96,2.43,2.21,2.09,NONAG
Ray Cr,1805.33,200,3.55,3.22,3.05,DRYLAND
Rock Cr,2657.86,594.7,1.31,1.2,1.11,NONAG
Ryan Cr,10293.4,1987.07,4.42,4.05,3.74,NONAG
Salt Cr,3049.83,493.1,1.02,0.92,0.87,NONAG
Sawmill Cr,527,200,3.25,2.97,2.75,NONAG
Sevenmile Cr1,3988,2490.27,4.3,3.9,3.71,NONAG
Sevenmile Cr2,6077.1,1087.61,4.3,3.9,3.71,NONAG
Sheep Cr,2063.19,730.5,1.59,1.46,1.36,NONAG
Shimmiehorn Cr1,220.68,2983.03,9.48,8.67,8.02,NONAG
Shimmiehorn Cr3,9140.95,1754.97,2.38,2.16,1.98,NONAG
South Canyon,5597.04,1181.69,2.29,2.11,2.01,NONAG
Spring Cr,8162.54,1771.82,4.64,4.18,3.84,NONAG
Spring Hollow (Butter),7616.95,1946.74,3.65,3.36,3.21,NONAG
Spring Hollow Cr1 (WH),4074.87,4724.6,6.75,6.36,6.1,DRYLAND
Spring Hollow Cr2 (WH),3138.22,2292.74,3.45,3.23,3.09,DRYLAND
Spring Hollow Cr4 (WH),2200.05,1835.7,3.45,3.23,3.09,DRYLAND
Spring Hollow WF Cr (WH),2640.18,1433,2.01,1.9,1.82,DRYLAND
Squaw Cr Trib,809.24,577.1,1.37,1.23,1.15,NONAG
Squaw Cr1,672.08,9052.7,20.18,18.32,17.23,NONAG
Squaw Cr3,5164.53,9052.7,20.18,18.32,17.23,NONAG
Squaw Cr4,4932.58,7010.03,15.15,13.73,12.91,NONAG
Squaw Cr5,551.38,5439.53,12.3,11.17,10.51,NONAG
Squaw Cr6,5320.89,3266.03,6.13,5.61,5.27,NONAG
Stage Gulch1,1032.05,200,8.39,7.6,7.23,IRRIGATED
Stage Gulch3,610.21,200,5.68,5.09,4.92,URBAN
Stanley Cr,5253.84,1485.66,2.9,2.63,2.5,NONAG
StarveToDeath,535.23,200,0.48,0.44,0.41,NONAG
Stewart Cr1,3880.41,200,7.4,6.74,6.38,DRYLAND
Stewart Cr2,7123.48,200,3.55,3.22,3.05,DRYLAND
Swale Cr,4134.61,849.2,1.61,1.48,1.42,NONAG
Swamp Cr,934.82,225.4,0.49,0.46,0.43,NONAG
Thomas Cr1,3341.52,4969.1,11.92,10.8,10.01,NONAG
Thomas Cr2,506.27,3916.2,9.49,8.58,7.93,NONAG
Thomas Cr3,3191.56,1488.74,3.35,3.06,2.84,NONAG
Thomas Cr5,1839.16,931.7,3.35,3.06,2.84,NONAG
Tunnel Cr,2479.24,1045.2,1.82,1.63,1.55,NONAG
Tutuilla Cr,9176.31,6635.79,20.23,19.12,18.53,DRYLAND
Twomile Cr1,2405.18,1073.7,2.32,2.13,2,NONAG
Twomile Cr3,2218.03,1073.7,2.32,2.13,2,NONAG
UM NF1,4186.12,7664.88,18.12,16.17,14.64,NONAG
UM NF2,4992.01,4701.32,11.5,10.22,9.27,NONAG
UM NF3,950.98,1886.87,4.65,4.1,3.67,NONAG
UM SF1,828.45,15581.5,36.48,32.91,30.49,NONAG
UM SF2,4236.11,12317.76,29.41,26.86,24.87,NONAG
UM SF3,1860.19,6272.58,29.41,26.86,24.87,NONAG
UM SF4,10535.11,1847.05,5.05,4.63,4.27,NONAG
UM1,2026.62,602631,75,75,75,URBAN
UM10,147.83,594458.7,75,75,75,IRRIGATED
UM11,4208.37,593449.66,75,75,75,IRRIGATED
UM12,3686.25,553988.76,35,35,35,IRRIGATED
UM13,151.49,428081.02,35,35,35,IRRIGATED
UM15,1092.71,408666.5,75,75,75,IRRIGATED
UM16,8857.18,389369.36,75,75,75,IRRIGATED
UM17,4557.06,377880.8,75,75,75,IRRIGATED
UM19,4123.94,377880.8,75,75,75,IRRIGATED
